state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,albury_wodonga,barwon_geelong,bendigo_bendigo,cabrini_brighton,cabrini_malvern,casey_berwick,central_sale,dandenong_dandenong,eastern_boxhill,echuca_echuca,epworth_richmond,frankston_frankston,grampians_ballarat,grampians_horsham,latrobe_traralgonwest,maroondah_eastringwood,mildura_mildura,monash_clayton,shepparton_shepparton,south_warrnambool,sunshine_stalbans,northern_epping,royal_parkville,wangaratta_wangaratta,werribee_werribee,west_warragul,TravelDuration,TravelDuration_min,min_distance,closest_hospital
VIC,3013,Australia,Victoria,3013 Victoria Australia,-37.81790543,144.8820343,6.6,6.6,258.2,58.6,130.1,14.2,14.2,47.7,195.5,34.6,20.8,187.2,9.8,42.8,95.6,266.6,146.3,33.3,473.0,24.0,168.9,220.0,8.6,21.7,6.5,206.8,17.8,99.7,882.0,14.7,6.5,royal_parkville
VIC,3015,Australia,Victoria,3015 Victoria Australia,-37.83778,144.8821869,7.7,7.7,259.8,57.2,132.1,12.6,13.5,46.6,195.1,33.5,21.0,189.4,10.0,40.9,96.3,267.6,145.6,33.5,474.9,23.1,171.0,219.3,10.4,23.6,7.6,208.6,16.9,98.8,975.0,16.3,7.6,royal_parkville
VIC,3016,Australia,Victoria,3016 Victoria Australia,-37.85908508,144.8848267,9.3,9.3,261.4,56.0,134.4,11.1,13.0,45.3,194.5,32.3,21.2,191.8,10.6,38.8,97.3,268.9,144.7,33.7,477.0,22.0,173.2,218.9,12.5,25.6,9.1,210.3,16.6,97.7,1395.0,23.3,9.1,royal_parkville
VIC,3018,Australia,Victoria,3018 Victoria Australia,-37.86029053,144.8150177,14.0,14.0,265.7,51.0,132.2,16.5,19.1,50.8,200.5,37.9,27.2,191.6,16.3,42.4,91.7,263.5,150.5,39.7,473.9,27.9,175.1,213.0,11.1,29.0,13.9,214.2,10.6,103.4,1580.0,26.3,13.9,werribee_werribee
VIC,3019,Australia,Victoria,3019 Victoria Australia,-37.78669357,144.8548431,8.4,8.4,257.4,59.1,125.9,18.4,17.8,51.6,198.5,38.5,23.4,183.6,12.6,47.0,92.3,262.9,149.7,35.7,468.8,27.9,166.2,218.8,4.5,20.5,8.3,205.6,17.6,103.3,1240.0,20.7,8.3,sunshine_stalbans
VIC,3020,Australia,Victoria,3020 Victoria Australia,-37.78333282,144.8238678,11.1,11.1,259.1,57.4,124.5,20.5,20.4,54.1,201.2,41.0,26.2,183.1,15.3,48.8,89.6,260.3,152.3,38.4,467.0,30.4,166.7,216.3,2.6,22.2,11.1,207.1,15.8,106.0,1282.0,21.4,11.1,sunshine_stalbans
VIC,3021,Australia,Victoria,3021 Victoria Australia,-37.74289703,144.8000031,14.3,14.3,257.5,59.3,119.6,25.2,24.4,58.4,204.2,45.2,29.1,178.5,18.9,53.7,86.4,256.4,155.8,41.0,462.1,34.6,163.1,215.8,2.4,21.4,14.3,205.0,18.2,109.8,1257.0,21.0,14.3,sunshine_stalbans
VIC,3022,Australia,Victoria,3022 Victoria Australia,-37.77594376,144.8010407,13.2,13.2,259.9,56.6,123.0,22.5,22.6,56.2,203.4,43.1,28.3,182.2,17.5,50.6,87.4,258.1,154.5,40.5,465.3,32.5,166.6,214.7,2.1,23.3,13.2,207.8,15.1,108.1,1224.0,20.4,13.2,sunshine_stalbans
VIC,3023,Australia,Victoria,3023 Victoria Australia,-37.759758,144.7520142,17.8,17.8,261.8,55.2,119.8,27.0,27.2,60.9,207.9,47.7,32.8,180.4,22.1,54.6,82.8,253.5,159.2,45.0,461.5,37.2,166.4,211.2,5.6,26.0,17.8,209.3,14.8,112.8,1380.0,23.0,17.8,sunshine_stalbans
VIC,3024,Australia,Victoria,3024 Victoria Australia,-37.83715057,144.5994263,31.2,31.2,277.5,40.6,124.1,35.4,38.2,69.3,219.6,56.7,45.7,189.4,34.6,58.0,73.3,245.7,169.4,58.2,462.2,46.9,179.4,195.7,20.8,41.9,31.1,224.7,10.3,122.2,2724.0,45.4,31.1,werribee_werribee
