state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,km_to_albury,km_to_austin,km_to_barwon,km_to_bendigo,km_to_monash,km_to_sunshine,km_to_northern,min_distance,closest_hosp,TravelDuration,TravelDuration_min
VIC,3214,Australia,Victoria,3214 Victoria Australia,-38.07424164,144.3707275,59.62233224,59.62233224,310.0649242,69.96406439,8.578602142,147.5306677,67.9051024,52.60157519,73.3732432,8.578602142,Barwon,3054,50.9
VIC,3215,Australia,Victoria,3215 Victoria Australia,-38.1085968,144.334198,64.3607296,64.3607296,315.0126516,74.66470849,5.501818567,151.217075,72.00554219,57.53408732,78.27397562,5.501818567,Barwon,3528,58.8
VIC,3216,Australia,Victoria,3216 Victoria Australia,-38.18766785,144.3095856,71.20419001,71.20419001,322.659617,81.33107538,6.375698519,159.9605293,76.97758473,65.24624252,85.74760865,6.375698519,Barwon,3889,64.81666667
VIC,3217,Australia,Victoria,3217 Victoria Australia,-38.25112152,144.2980347,76.48629069,76.48629069,328.3395542,86.43507676,12.58737297,167.004991,80.83421213,71.19888319,91.45308026,12.58737297,Barwon,4155,69.25
VIC,3218,Australia,Victoria,3218 Victoria Australia,-38.11555862,144.217041,73.56227355,73.56227355,323.0536328,83.95117069,13.6185918,152.0420477,82.07941457,65.9345854,86.82656342,13.6185918,Barwon,3817,63.61666667
VIC,3219,Australia,Victoria,3219 Victoria Australia,-38.17250443,144.3854675,64.98853638,64.98853638,316.7562252,75.01191975,2.909496372,158.5111406,70.21035395,59.5931655,79.85588391,2.909496372,Barwon,4141,69.01666667
VIC,3222,Australia,Victoria,3222 Victoria Australia,-38.20248032,144.5649719,56.62251522,56.62251522,308.3231459,65.83334657,18.30223843,163.4808376,57.86963867,54.07940322,72.67916513,18.30223843,Barwon,5114,85.23333333
VIC,3223,Australia,Victoria,3223 Victoria Australia,-38.15333939,144.6658325,47.13034713,47.13034713,298.3580707,55.99258181,26.22109581,159.7214378,47.4987317,45.84900911,63.45229186,26.22109581,Barwon,5572,92.86666667
VIC,3225,Australia,Victoria,3225 Victoria Australia,-38.24934769,144.6291809,57.95599247,57.95599247,308.4866766,66.49069675,25.45325045,169.557344,56.44219176,56.99463004,74.38203229,25.45325045,Barwon,5294,88.23333333
VIC,3226,Australia,Victoria,3226 Victoria Australia,-38.25967026,144.5383301,63.14186805,63.14186805,314.5982752,72.18774102,19.28779363,169.4409931,63.38792055,60.83527179,79.29428178,19.28779363,Barwon,5107,85.11666667
VIC,3227,Australia,Victoria,3227 Victoria Australia,-38.26060486,144.4275665,69.2190759,69.2190759,321.2237034,78.75668377,13.29247501,168.530481,71.47075362,65.43240952,84.89230393,13.29247501,Barwon,4692,78.2
VIC,3228,Australia,Victoria,3228 Victoria Australia,-38.33244324,144.2707062,84.42396433,84.42396433,336.4578991,94.16423509,21.79278451,176.04704,87.31601931,79.76439566,99.74709091,21.79278451,Barwon,4667,77.78333333
VIC,3230,Australia,Victoria,3230 Victoria Australia,-38.38084412,144.1542969,95.46756626,95.46756626,347.4096048,105.320939,31.51169607,181.7855204,98.78724052,90.30974497,110.5496374,31.51169607,Barwon,6205,103.4166667
VIC,3231,Australia,Victoria,3231 Victoria Australia,-38.45204544,144.0603027,106.8560213,106.8560213,358.7979082,116.6961666,42.77571637,190.3661103,109.908365,101.6497317,121.9286476,42.77571637,Barwon,6199,103.3166667
VIC,3239,Australia,Victoria,3239 Victoria Australia,-38.57363129,143.4201813,159.376141,159.376141,408.8711068,169.6590787,94.89508948,216.6454845,165.2970683,152.0947937,172.9860839,94.89508948,Barwon,8590,143.1666667
VIC,3241,Australia,Victoria,3241 Victoria Australia,-38.26027679,143.9307709,103.2600707,103.2600707,352.4346895,113.6243982,39.91013851,170.8850579,110.7742318,95.63284914,116.5394243,39.91013851,Barwon,5230,87.16666667
VIC,3250,Australia,Victoria,3250 Victoria Australia,-38.34016037,143.5839081,134.1453222,134.1453222,381.2965996,144.5622697,71.45169899,187.362129,142.2832229,125.8872178,146.7835997,71.45169899,Barwon,6468,107.8
VIC,3265,Australia,Victoria,3265 Victoria Australia,-38.32473755,142.8113403,196.328413,196.328413,434.9000373,206.7375393,137.1387519,218.0616883,206.9500763,186.6146382,206.9976921,137.1387519,Barwon,9329,155.4833333
VIC,3271,Australia,Victoria,3271 Victoria Australia,-37.91021347,143.0149994,170.3761067,170.3761067,395.9608047,180.3351967,121.323629,171.0431803,184.7313044,159.1888071,178.0238443,121.323629,Barwon,8951,149.1833333
VIC,3280,Australia,Victoria,3280 Victoria Australia,-38.36675644,142.4881897,224.6902242,224.6902242,461.2679253,235.0840867,165.6916238,239.5949623,235.4958049,214.8352373,235.1067599,165.6916238,Barwon,10803,180.05
